Municipality,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,Total Votes,Turnout,pPS,pPD,pOP,pInvalid,pTurnout
Peqin,6703,5397,515,701,30182,12615,13316,0.4411901133125704,0.5313515655965121,0.42782401902497025,0.04082441537851764,0.055568767340467694,0.4411901133125704
Permet,3648,2024,728,356,16205,6400,6756,0.41690836161678496,0.57,0.31625,0.11375,0.055625,0.41690836161678496
Pogradec,15699,12509,3715,2810,72502,31923,34733,0.47906264654768144,0.49177708861949065,0.39184913698587226,0.1163737743946371,0.08802430849230962,0.47906264654768144
Polican,3871,1045,952,357,13180,5868,6225,0.47230652503793624,0.6596796182685754,0.17808452624403545,0.16223585548738922,0.06083844580777096,0.47230652503793624
Prrenjas,6744,3849,1990,816,25169,12583,13399,0.5323612380309111,0.5359612175156958,0.3058888977191449,0.15814988476515934,0.06484939998410554,0.5323612380309111
Puke,2820,2214,966,350,11829,6000,6350,0.5368162989263674,0.47,0.369,0.161,0.058333333333333334,0.5368162989263674
Pustec,867,473,193,73,4366,1533,1606,0.3678424186898763,0.5655577299412916,0.3085453359425962,0.1258969341161122,0.047619047619047616,0.3678424186898763
Roskovec,6276,4944,697,520,25276,11917,12437,0.4920477923722108,0.5266426113954854,0.41486951413946466,0.05848787446504993,0.04363514307292104,0.4920477923722108
Rrogozhine,5337,3949,1292,546,31996,10578,11124,0.34766845855731965,0.5045377197958026,0.37332198903384384,0.12214029117035356,0.05161656267725468,0.34766845855731965
Sarande,7839,5060,2031,768,47089,14930,15698,0.33336872730361655,0.5250502344273276,0.33891493636972536,0.1360348292029471,0.05144005358338915,0.33336872730361655
Selenice,5928,3093,791,517,26856,9812,10329,0.38460679177837354,0.6041581736649001,0.31522625356706074,0.08061557276803914,0.052690582959641255,0.38460679177837354
Shijak,7985,5849,1129,862,36360,14963,15825,0.4352310231023102,0.5336496691839872,0.3908975472832988,0.07545278353271402,0.05760876829512798,0.4352310231023102
Shkoder,15848,29893,20375,3234,166983,66116,69350,0.41531173832066737,0.23969992135035392,0.45212959041684314,0.30817048823280296,0.04891402988686551,0.41531173832066737
Skrapar,3547,776,2307,427,13574,6630,7057,0.5198909680271107,0.5349924585218703,0.11704374057315234,0.34796380090497736,0.06440422322775263,0.5198909680271107
Tepelene,3433,1432,993,320,12807,5858,6178,0.4823924416334817,0.5860361898258791,0.24445203141003755,0.1695117787640833,0.05462615227039946,0.4823924416334817
Tirane,183365,136802,45613,13559,680287,365780,379339,0.5576161237830504,0.5012985947837498,0.3740007654874515,0.12470063972879873,0.037068729837607305,0.5576161237830504
Tropoje,3094,6443,171,618,22018,9708,10326,0.46897992551548734,0.3187062216728471,0.6636794396374125,0.01761433868974042,0.06365883807169345,0.46897992551548734
Ura Vajgurore,7236,4992,1266,1258,31117,13494,14752,0.4740816916797892,0.5362383281458426,0.3699421965317919,0.0938194753223655,0.09322661923817993,0.4740816916797892
Vau Dejes,3728,6376,5523,926,39313,15627,16553,0.42105664792816627,0.23856146413259102,0.4080117744928649,0.35342676137454404,0.05925641517885711,0.42105664792816627
Vlore,34768,17651,6149,2450,164592,58568,61018,0.3707227568776125,0.5936347493511815,0.3013761781177435,0.10498907253107499,0.04183171697855484,0.3707227568776125
Vore,8458,5705,1544,791,30053,15707,16498,0.5489634978205171,0.5384860253390208,0.36321385369580445,0.09830012096517476,0.050359712230215826,0.5489634978205171
