District,Municipality,Administrative Unit,Vote Tally
Tirane,Tirane,Njesia Nr. 9,11590
Tirane,Tirane,Njesia Nr. 11,10856
Vlore,Delvine,Delvine,1347
Vlore,Delvine,Vergo,347
Vlore,Finiq,Dhiver,158
Vlore,Himare,Hore Vranisht,150
Vlore,Selenice,Sevaster,345
Vlore,Vlore,Novosele (VL),1241
Vlore,Vlore,Qender-Vlore,1354
Vlore,Vlore,Vlore,13550
