District,Municipality,Administrative Unit,PS,PD,Other Parties,Invalid Ballots,Eligible Voters,Total Eligible Votes,Total Votes,Turnout
Shkoder,Vau Dejes,Temal,117,302,353,49,1586,772,821,0.5176544766708702
Shkoder,Vau Dejes,Vau Dejes,1424,1608,1257,312,10130,4289,4601,0.4541954590325765
Shkoder,Vau Dejes,Vig-Mnele,83,283,312,31,1621,678,709,0.43738433066008636
Tirane,Kamez,Kamez,12681,16929,4033,1801,67992,33643,35444,0.5212966231321332
Tirane,Kamez,Paskuqan,6663,8835,2328,784,35437,17826,18610,0.5251573214436888
Tirane,Kavaje,Golem (TR),1969,1750,346,179,10416,4065,4244,0.4074500768049155
Tirane,Kavaje,Helmes,703,623,140,50,3939,1466,1516,0.38486925615638484
Tirane,Kavaje,Kavaje,5331,5685,1370,487,33126,12386,12873,0.38860713638833544
Tirane,Kavaje,Luz I Vogel,1099,955,95,105,8366,2149,2254,0.26942385847477884
Tirane,Kavaje,Synej,1236,1102,128,120,8882,2466,2586,0.2911506417473542
Tirane,Rrogozhine,Gose,1020,936,177,121,6732,2133,2254,0.33481877599524656
Tirane,Rrogozhine,Kryevidh,844,692,481,86,7127,2017,2103,0.29507506664795846
Tirane,Rrogozhine,Lekaj,1047,1024,204,138,7340,2275,2413,0.3287465940054496
Tirane,Rrogozhine,Rrogozhine,2115,1145,376,179,9508,3636,3815,0.4012410601598654
Tirane,Rrogozhine,Sinaballaj,311,152,54,22,1289,517,539,0.4181536074476338
Tirane,Tirane,Baldushk,1226,1077,323,127,4131,2626,2753,0.6664245945291697
Tirane,Tirane,Kashar,12994,8747,3283,1118,40748,25024,26142,0.6415529596544616
Tirane,Tirane,Ndroq,2024,1290,403,272,7302,3717,3989,0.5462886880306765
Tirane,Tirane,Petrele,2079,1257,194,190,5222,3530,3720,0.7123707391803906
Tirane,Tirane,Peze,1739,901,260,235,4672,2900,3135,0.6710188356164384
Tirane,Tirane,Vaqarr,2551,1895,452,348,7791,4898,5246,0.6733410345270183
Tirane,Tirane,Berzhite,1793,799,264,172,4594,2856,3028,0.6591205920766217
Tirane,Tirane,Dajt,6131,4013,1980,544,19928,12124,12668,0.6356884785226816
Tirane,Tirane,Farke,6252,4439,1373,464,18277,12064,12528,0.6854516605569841
Tirane,Tirane,Krrabe,1020,304,83,80,2381,1407,1487,0.6245275094498111
Tirane,Tirane,Shengjergj,634,543,137,76,1991,1314,1390,0.6981416373681567
Tirane,Tirane,Zall Bastar,1328,928,342,133,3852,2598,2731,0.7089823468328141
Tirane,Tirane,Zall Herr,3249,1587,433,356,9039,5269,5625,0.6223033521407235
Tirane,Tirane,Njesia Nr. 1,11375,7537,2812,899,41790,21724,22623,0.5413496051687007
Tirane,Tirane,Njesia Nr. 2,17380,14319,4539,1091,67552,36238,37329,0.552596518237802
Tirane,Tirane,Njesia Nr. 3,9089,6827,2775,648,37427,18691,19339,0.5167125337323323
Tirane,Tirane,Njesia Nr. 4,12627,9542,3371,1068,52562,25540,26608,0.5062212244587344
Tirane,Tirane,Njesia Nr. 5,20230,13225,5467,1036,71200,38922,39958,0.5612078651685394
Tirane,Tirane,Njesia Nr. 6,15596,9994,3482,1256,56854,29072,30328,0.5334365216167728
Tirane,Tirane,Njesia Nr. 7,15918,12661,4029,982,61709,32608,33590,0.5443290281806543
Tirane,Tirane,Njesia Nr. 8,7558,7921,2154,380,34033,17633,18013,0.5292804043134605
Tirane,Tirane,Njesia Nr. 9,13131,11590,3134,919,52717,27855,28774,0.5458201339226435
Tirane,Tirane,Njesia Nr. 10,6007,4550,1419,120,23597,11976,12096,0.5126075348561258
Tirane,Tirane,Njesia Nr. 11,11434,10856,2904,1045,50918,25194,26239,0.5153187477905652
Tirane,Vore,Berxull,1750,2292,622,218,8569,4664,4882,0.5697280896253939
Tirane,Vore,Preze,1683,927,158,140,5396,2768,2908,0.5389177168272795
Tirane,Vore,Vore,5025,2486,764,433,16088,8275,8708,0.5412729985082049
Vlore,Delvine,Delvine,1998,1347,529,246,11881,3874,4120,0.3467721572258227
Vlore,Delvine,Vergo,601,347,137,74,2963,1085,1159,0.39115761052986836
Vlore,Finiq,Aliko,251,291,45,30,5108,587,617,0.12079091620986687
Vlore,Finiq,Dhiver,416,158,51,53,5554,625,678,0.12207418077061577
Vlore,Finiq,Finiq,423,213,103,48,5426,739,787,0.1450423884998157
Vlore,Finiq,Livadhja,673,464,86,97,9046,1223,1320,0.14592084899403052
Vlore,Finiq,Mesopotam,445,296,60,50,5742,801,851,0.14820619993033787
Vlore,Himare,Himare,1360,983,162,29,12042,2505,2534,0.21043016110280685
Vlore,Himare,Hore Vranisht,1051,150,97,35,2811,1298,1333,0.47420846673781575
Vlore,Himare,Lukove,1036,721,198,60,7977,1955,2015,0.2526012285320296
Vlore,Konispol,Konsipol,861,494,54,87,2459,1409,1496,0.6083773891825945
Vlore,Konispol,Markat,661,438,28,75,2435,1127,1202,0.49363449691991784
Vlore,Konispol,Xarre,712,422,251,111,6447,1385,1496,0.23204591282767179
Vlore,Sarande,Ksamil,1236,779,296,122,7243,2311,2433,0.335910534308988
Vlore,Sarande,Sarande,6603,4281,1735,646,39846,12619,13265,0.3329066907594238
Vlore,Selenice,Armen,1105,522,179,112,5228,1806,1918,0.36687069625095636
Vlore,Selenice,Brataj,922,417,157,91,3572,1496,1587,0.4442889137737962
Vlore,Selenice,Kote,1316,634,136,72,5052,2086,2158,0.4271575613618369
Vlore,Selenice,Selenice,845,455,96,82,5463,1396,1478,0.2705473183232656
Vlore,Selenice,Sevaster,456,345,90,55,2258,891,946,0.41895482728077943
Vlore,Selenice,Vllahine,1284,720,133,105,5283,2137,2242,0.4243800870717395
Vlore,Vlore,Novosele (VL),2512,1241,344,249,13461,4097,4346,0.3228586286308595
Vlore,Vlore,Orikum,1879,920,479,170,9333,3278,3448,0.3694417657773492
Vlore,Vlore,Qender-Vlore,2473,1354,428,231,15191,4255,4486,0.2953064314396682
Vlore,Vlore,Shushice,1470,586,235,124,7561,2291,2415,0.3194021954767888
Vlore,Vlore,Vlore,26434,13550,4663,1676,119046,44647,46323,0.38911849201149135
