District,Municipality,Administrative Unit,pPS,pPD,pPSPD,pOP,pInvalid,Eligible Voters,Total Eligible Votes,Total Votes,pTurnout
Berat,Berat,Berat,0.5443433905971801,0.34714402579279147,1.5680621014693652,0.10851258361002838,0.052825888787602554,52154,20781,21940,0.4206772251409288
Berat,Berat,Otllak,0.5306730196545563,0.34266428429620804,1.548667439165701,0.12666269604923566,0.06445022288261515,12029,5037,5384,0.44758500290963504
Berat,Berat,Roshnik,0.6775510204081633,0.25387755102040815,2.6688102893890675,0.06857142857142857,0.08513816280806571,2857,1225,1339,0.46867343367168357
Berat,Berat,Sinje,0.5751381215469613,0.2850828729281768,2.0174418604651163,0.1397790055248619,0.08354430379746836,3908,1810,1975,0.5053735926305015
Berat,Berat,Velabisht,0.6008351756325228,0.2702038811102923,2.2236363636363636,0.12896094325718496,0.09210526315789473,9397,4071,4484,0.47717356603171224
Berat,Kucove,Kozare,0.4945092656142759,0.41111873713109126,1.2028380634390652,0.09437199725463281,0.07079081632653061,6465,2914,3136,0.4850734725444702
Berat,Kucove,Kucove,0.5804788213627993,0.30902394106813996,1.8784266984505364,0.11049723756906077,0.05224575285082616,24378,8145,8594,0.3525309705472147
Berat,Kucove,Lumas,0.5727863931965983,0.32066033016508255,1.7862714508580344,0.10655327663831916,0.055739253660840815,5372,1999,2117,0.39408041697691737
Berat,Kucove,Perondi,0.5692055692055692,0.27354627354627353,2.0808383233532934,0.15724815724815724,0.06698930208863983,8688,3663,3926,0.4518876611418048
Berat,Polican,Polican,0.647834274952919,0.1295668549905838,5,0.22259887005649717,0.05381325730577334,6179,2655,2806,0.4541187894481308
Berat,Polican,Terpan,0.6414285714285715,0.15285714285714286,4.196261682242991,0.2057142857142857,0.06166219839142091,1692,700,746,0.44089834515366433
Berat,Polican,Vertop,0.6772781536012734,0.2363708714683645,2.8653198653198655,0.08635097493036212,0.05985783763561541,5309,2513,2673,0.5034846487097382
Berat,Skrapar,Bogove,0.42857142857142855,0.2537313432835821,1.6890756302521008,0.31769722814498935,0.07677165354330709,1237,469,508,0.4106709781729992
Berat,Skrapar,Cepan,0.4175531914893617,0.1196808510638298,3.488888888888889,0.4627659574468085,0.04810126582278481,758,376,395,0.521108179419525
Berat,Skrapar,Corovode,0.5224306688417618,0.11500815660685156,4.542553191489362,0.36256117455138664,0.05837173579109063,4701,2452,2604,0.5539246968730057
Berat,Skrapar,Gjerbes,0.5568862275449101,0.19461077844311378,2.8615384615384616,0.24850299401197604,0.06963788300835655,814,334,359,0.44103194103194104
Berat,Skrapar,Leshnje,0.5972222222222222,0.06944444444444445,8.6,0.3333333333333333,0.03678929765886288,516,288,299,0.5794573643410853
Berat,Skrapar,Potom,0.7381443298969073,0.05360824742268041,13.76923076923077,0.20824742268041238,0.03578528827037773,793,485,503,0.6343001261034048
Berat,Skrapar,Qender-Skrapar,0.53025152957172,0.11216859279401767,4.7272727272727275,0.3575798776342624,0.06957621758380772,3096,1471,1581,0.5106589147286822
Berat,Skrapar,Vendresh,0.5379876796714579,0.07802874743326489,6.894736842105263,0.3839835728952772,0.0562015503875969,939,487,516,0.549520766773163
Berat,Skrapar,Zhepe,0.5597014925373134,0.05970149253731343,9.375,0.3805970149253731,0.0821917808219178,720,268,292,0.40555555555555556
