District,Municipality,Administrative Unit,PS,PD,LSI,Other Parties,Invalid Ballots,Eligible Voters
Elbasan,Elbasan,Shirgjan,2107,1300,51,144,257,8316
Elbasan,Elbasan,Shushice,2324,1504,59,221,361,8673
Elbasan,Elbasan,Tregan,935,719,68,47,119,3440
Elbasan,Elbasan,Zavaline,441,200,12,27,22,1370
Elbasan,Elbasan,Elbasan,23617,19733,1371,1793,2313,105852
Elbasan,Gramsh,Gramsh,3056,1585,289,170,248,10721
Elbasan,Gramsh,Kodovjat,746,343,108,33,90,2321
Elbasan,Gramsh,Kukur,600,293,119,30,94,2110
Elbasan,Gramsh,Kushove,286,143,16,14,23,840
Elbasan,Gramsh,Lenie,239,100,26,11,28,761
Elbasan,Gramsh,Pishaj,1694,824,125,58,146,5269
Elbasan,Gramsh,Porocan,396,130,8,29,94,1166
Elbasan,Gramsh,Skenderbegas,366,219,53,26,35,1349
Elbasan,Gramsh,Sult,280,144,18,16,21,931
Elbasan,Gramsh,Tunje,454,202,34,55,45,1562
Elbasan,Librazhd,Hotolisht,1635,763,146,128,253,5230
Elbasan,Librazhd,Librazhd,2497,1604,245,123,216,8602
Elbasan,Librazhd,Lunik,737,338,29,21,99,2568
Elbasan,Librazhd,Orenje,1170,484,34,44,162,3493
Elbasan,Librazhd,Polis,1211,475,41,41,108,3936
Elbasan,Librazhd,Qender-Librazhd,2509,1324,291,80,379,8411
Elbasan,Librazhd,Stebleve,193,193,4,2,26,828
Elbasan,Peqin,Gjocaj,1094,1128,38,39,192,5745
Elbasan,Peqin,Karine,452,260,4,6,32,1492
Elbasan,Peqin,Pajove,1642,1251,42,30,180,7042
Elbasan,Peqin,Peqin,1790,1413,138,62,163,7212
Elbasan,Peqin,Perparim,857,741,80,45,67,4305
Elbasan,Peqin,Sheze,868,604,9,22,67,4386
Elbasan,Prrenjas,Prrenjas,1723,983,536,109,205,6912
Elbasan,Prrenjas,Qukes,2225,1369,248,167,233,7963
Elbasan,Prrenjas,Rajce,2134,1073,724,157,293,8219
Elbasan,Prrenjas,Stravaj,662,424,15,34,85,2075
Fier,Divjake,Divjake,2363,2298,412,131,368,11531
Fier,Divjake,Grabian,1025,863,70,59,152,4922
Fier,Divjake,Gradisht,2496,1374,226,185,234,8691
Fier,Divjake,Remas,1192,1026,162,49,143,5203
Fier,Divjake,Terbuf,2638,1876,240,206,374,12607
Fier,Fier,Cakran,3123,2290,379,108,321,12759
Fier,Fier,Frakull,2132,1299,249,88,222,8331
Fier,Fier,Levan,2350,1705,265,217,315,14046
Fier,Fier,Portez,2186,1328,380,77,215,9129
Fier,Fier,Dermenas,1929,1764,440,73,227,10216
Fier,Fier,Libofshe,1907,935,215,122,185,8317
Fier,Fier,Mbrostar,1788,1320,717,125,292,8429
Fier,Fier,Qender-Fier,1953,1549,387,82,264,9954
Fier,Fier,Topoje,1763,471,163,44,129,6132
Fier,Fier,Fier,17507,11933,2482,1039,1057,77732
Fier,Lushnje,Allkaj,1356,739,286,84,159,5039
Fier,Lushnje,Ballagat,606,515,22,23,121,2970
Fier,Lushnje,Bubullime,1979,933,210,110,217,5845
Fier,Lushnje,Dushk,1768,1415,226,138,221,9413
Fier,Lushnje,Fier Shegan,1778,1225,559,78,276,7656
Fier,Lushnje,Golem (FR),1253,858,197,71,189,6084
Fier,Lushnje,Hysgjokaj,597,610,71,24,90,2771
Fier,Lushnje,Karbunare,1148,654,103,52,171,4406
Fier,Lushnje,Kolonje,1896,1148,191,92,180,6697
Fier,Lushnje,Krutje,2666,1267,230,193,246,8292
Fier,Lushnje,Lushnje,9747,7705,816,522,908,45076
Fier,Mallakaster,Aranitas,643,551,68,54,96,3059
Fier,Mallakaster,Ballsh,1699,1596,366,171,181,8722
Fier,Mallakaster,Fratar,933,555,148,29,120,3819
Fier,Mallakaster,Greshice,293,144,115,7,41,1465
Fier,Mallakaster,Hekal,790,561,76,34,84,3584
Fier,Mallakaster,Kute,591,304,57,23,67,2401
Fier,Mallakaster,Ngracan,108,132,18,11,17,627
Fier,Mallakaster,Qender-Mallakaster,1167,1497,217,120,234,6523
Fier,Mallakaster,Selite Mallakaster,219,185,34,17,24,1056
Fier,Patos,Patos,5209,3331,739,247,429,25246
Fier,Patos,Ruzhdie,645,471,50,20,91,2435
Fier,Patos,Zharres,1853,1309,216,49,195,6827
Fier,Roskovec,Kuman,1481,1224,134,57,171,6607
Fier,Roskovec,Kurjan,1161,642,133,29,81,4052
Fier,Roskovec,Roskovec,1625,1327,118,52,136,7251
Fier,Roskovec,Strum,2009,1751,125,49,132,7366
Gjirokaster,Dropull,Dropull Poshte,802,295,262,23,93,8229
Gjirokaster,Dropull,Dropull Siper,555,261,260,33,80,9046
Gjirokaster,Dropull,Pogon,149,48,79,2,10,2685
Gjirokaster,Gjirokaster,Antigone,385,198,77,15,21,1419
Gjirokaster,Gjirokaster,Cepo,796,581,197,25,52,3555
Gjirokaster,Gjirokaster,Gjirokaster,7176,3401,1422,381,504,28130
Gjirokaster,Gjirokaster,Lazarat,94,1599,117,20,46,2734
Gjirokaster,Gjirokaster,Lunxheri,779,362,178,24,44,4439
Gjirokaster,Gjirokaster,Odrie,174,109,37,9,1,1398
Gjirokaster,Gjirokaster,Picar,363,286,101,20,44,1519
Gjirokaster,Kelcyre,Ballaban,273,217,25,10,29,1501
Gjirokaster,Kelcyre,Dishnice,354,224,104,6,30,1842
Gjirokaster,Kelcyre,Kelcyre,759,531,250,42,99,4096
Gjirokaster,Kelcyre,Suke,437,131,142,24,35,1980
Gjirokaster,Libohove,Libohove,580,603,63,51,82,2685
Gjirokaster,Libohove,Qender-Libohove,453,233,119,27,48,2366
Gjirokaster,Libohove,Zagori,123,65,23,3,12,813
Gjirokaster,Memaliaj,Buz,249,116,45,9,14,975
Gjirokaster,Memaliaj,F. Memaliaj,601,209,167,14,80,2117
Gjirokaster,Memaliaj,Krahes,569,211,297,52,103,2958
Gjirokaster,Memaliaj,Luftinje,515,195,191,32,65,2531
Gjirokaster,Memaliaj,Memaliaj,857,513,167,72,114,5365
Gjirokaster,Memaliaj,Qesarat,480,160,133,9,35,1875
Gjirokaster,Permet,Carcove,312,182,49,8,28,2321
Gjirokaster,Permet,Frasher,110,62,13,1,19,465
Gjirokaster,Permet,Permet,2062,1053,313,93,212,8346
Gjirokaster,Permet,Petran,501,427,55,25,44,2525
Gjirokaster,Permet,Qender-Piskove,663,300,152,19,53,2548
Gjirokaster,Tepelene,Kurvelesh,286,135,34,18,31,1074
Gjirokaster,Tepelene,Lopes,275,171,29,4,15,935
Gjirokaster,Tepelene,Qender-Tepelene,1155,368,337,88,108,4292
Gjirokaster,Tepelene,Tepelene,1717,758,352,131,166,6506
Korce,Devoll,Bilisht,2062,1961,407,100,169,8594
Korce,Devoll,Hocisht,1228,1227,218,37,107,5429
Korce,Devoll,Miras,1821,1734,233,62,153,7868
Korce,Devoll,Proger,951,1229,160,31,101,4770
Korce,Devoll,Qender-Bilisht,1363,1468,200,45,159,6980
Korce,Kolonje,Barmash,150,92,30,5,12,546
Korce,Kolonje,Clirim,125,31,18,3,13,495
Korce,Kolonje,Erseke,1436,691,302,80,173,5473
Korce,Kolonje,Leskovik,414,394,65,9,56,2258
Korce,Kolonje,Mollas (KO),523,487,73,10,51,2638
Korce,Kolonje,Novosele (KO),164,63,21,6,22,436
Korce,Kolonje,Qender-Erseke,776,496,244,33,115,3146
Korce,Kolonje,Qender-Leskovik,78,45,12,0,9,339
Korce,Korce,Drenove,1498,1152,253,82,140,8918
Korce,Korce,Lekas,145,49,24,14,20,667
Korce,Korce,Mollaj,1040,903,179,63,180,5702
Korce,Korce,Qender-Bulgarec,2346,2528,258,128,273,11134
Korce,Korce,Vithkuq,343,194,35,18,48,1270
Korce,Korce,Voskop,981,1118,139,36,113,4633
Korce,Korce,Voskopoje,324,284,71,35,35,1857
Korce,Korce,Korce,14160,12035,1514,1693,1120,75079
Korce,Maliq,Gore,445,437,41,15,35,1718
Korce,Maliq,Libonik,3010,1757,232,165,320,10908
Korce,Maliq,Maliq,1685,833,115,104,164,6376
Korce,Maliq,Moglice,344,132,8,13,33,1021
Korce,Maliq,Pirg,1925,1769,197,175,212,7652
Korce,Maliq,Pojan,2744,2863,353,225,348,13438
Korce,Maliq,Vreshtas,1896,1525,205,88,311,8150
Korce,Pogradec,Bucimas,2832,3451,696,201,696,15168
Korce,Pogradec,Cerrave,1636,1630,347,118,371,7462
Korce,Pogradec,Dardhas,573,590,78,59,137,2678
Korce,Pogradec,Porgradec,6745,4493,878,453,863,32073
Korce,Pogradec,Proptisht,1245,622,149,48,202,4484
Korce,Pogradec,Trebinje,506,332,105,36,109,2355
Korce,Pogradec,Udenisht,1539,1125,285,67,297,5977
Korce,Pogradec,Velcan,623,266,180,15,135,2305
Korce,Pustec,Pustec,867,473,168,25,73,4366
Kukes,Has,Fajze,489,842,1,14,83,3175
Kukes,Has,Gjinaj,131,243,0,3,41,823
Kukes,Has,Golaj,956,1791,6,25,128,6004
Kukes,Has,Krume,1095,1900,9,23,236,6126
Kukes,Kukes,Arren,79,79,0,1,2,316
Kukes,Kukes,Bicaj,850,1423,1,43,113,4473
Kukes,Kukes,Bushtrice,284,212,1,8,14,1046
Kukes,Kukes,Gryke Caje,123,300,1,17,21,1169
Kukes,Kukes,Kalis,130,159,1,4,11,626
Kukes,Kukes,Kolsh Kukes,154,365,1,14,32,1060
Kukes,Kukes,Kukes,3413,5777,25,210,533,18360
Kukes,Kukes,Malzi,369,643,0,16,52,2584
Kukes,Kukes,Shishtavec,818,629,0,10,51,3828
Kukes,Kukes,Shtiqen,467,870,0,28,63,2752
Kukes,Kukes,Surroj,173,375,1,22,37,1196
Kukes,Kukes,Terthore,379,812,0,16,50,2391
Kukes,Kukes,Topojan,209,414,0,13,38,1607
Kukes,Kukes,Ujmisht,276,466,2,23,31,1593
Kukes,Kukes,Zapod,367,328,3,16,34,1880
Kukes,Tropoje,Bajram Curri,1008,1873,4,55,181,6570
Kukes,Tropoje,Bujan,269,674,0,17,60,2192
Kukes,Tropoje,Bytyc,177,469,0,10,47,1609
Kukes,Tropoje,Fierze (KU),305,553,1,12,58,1840
Kukes,Tropoje,Lekbibaj,171,297,2,9,39,1284
Kukes,Tropoje,Llugaj,306,447,0,8,69,1709
Kukes,Tropoje,Margegaj,334,716,1,15,67,2468
Kukes,Tropoje,Tropoje,524,1414,4,33,97,4346
Lezhe,Kurbin,Fushe Kuqe,699,1566,253,106,214,7051
Lezhe,Kurbin,Lac,3486,4596,949,354,756,23532
Lezhe,Kurbin,Mamurras,2104,4165,1066,249,557,17870
Lezhe,Kurbin,Milot,1103,2547,461,219,308,9166
Lezhe,Lezhe,Balldre,1357,1411,246,198,240,8515
Lezhe,Lezhe,Lezhe,4549,4074,1089,458,637,24906
Lezhe,Lezhe,Shengjin,1987,1867,319,164,255,10468
Lezhe,Lezhe,Blinisht,898,633,63,73,107,4465
Lezhe,Lezhe,Dajc (LE),888,1042,111,61,160,5853
Lezhe,Lezhe,Kallmet,758,773,403,97,146,5671
Lezhe,Lezhe,Kolsh,1031,1137,147,135,222,5798
Lezhe,Lezhe,Shenkoll,1980,2532,545,159,415,13167
Lezhe,Lezhe,Ungrej,379,408,63,15,67,2063
Lezhe,Lezhe,Zejmen,1172,1347,555,137,260,7406
Lezhe,Mirdite,Fan,682,763,77,48,96,3193
Lezhe,Mirdite,Kacinar,224,295,33,7,25,1331
Lezhe,Mirdite,Kthelle,379,501,136,46,55,2400
Lezhe,Mirdite,Orosh,428,487,72,56,62,2355
Lezhe,Mirdite,Rreshen,1956,2409,593,257,223,11190
Lezhe,Mirdite,Rubik,1007,1145,191,164,112,6231
Lezhe,Mirdite,Selite,202,298,44,18,29,1268
Shkoder,Fushe Arrez,Blerim,143,187,13,73,27,1010
Shkoder,Fushe Arrez,Fierze (ShK),196,164,52,206,32,1423
Shkoder,Fushe Arrez,Fushe Arrez,583,705,258,122,101,3534
Shkoder,Fushe Arrez,Iballe,248,282,19,60,42,1266
Shkoder,Fushe Arrez,Qafe-Mali,209,294,93,85,56,1453
Shkoder,Malesi e Madhe,Gruemire,1744,1594,163,822,362,11706
Shkoder,Malesi e Madhe,Kastrat,1405,1665,69,267,249,10185
Shkoder,Malesi e Madhe,Kelmend,565,674,33,146,127,5149
Shkoder,Malesi e Madhe,Koplik,1118,1128,97,293,200,7493
Shkoder,Malesi e Madhe,Qender-Malesi e Madhe,869,1247,106,201,236,5685
Shkoder,Malesi e Madhe,Shkrel,820,782,45,193,172,5049
Shkoder,Puke,Gjegjan,800,479,7,189,106,2826
Shkoder,Puke,Puke,900,868,116,265,100,4055
Shkoder,Puke,Qelez,409,314,53,92,46,1686
Shkoder,Puke,Qerret,398,370,81,66,60,2079
Shkoder,Puke,Rrape,313,183,22,75,38,1183
Shkoder,Shkoder,Ana Malit,470,770,286,436,88,4820
Shkoder,Shkoder,Berdice,855,1362,300,624,149,7642
Shkoder,Shkoder,Dajc (ShK),523,958,50,299,93,7261
Shkoder,Shkoder,Gur I Zi,589,1650,777,928,250,9119
Shkoder,Shkoder,Postribe,915,1748,233,571,173,8772
Shkoder,Shkoder,Pult,140,280,44,241,42,2098
Shkoder,Shkoder,Rrethinat,1717,3292,666,2316,520,21022
Shkoder,Shkoder,Shale,269,279,84,133,36,2916
Shkoder,Shkoder,Shosh,91,120,76,17,12,839
Shkoder,Shkoder,Velipoje,1157,1014,303,481,166,7639
Shkoder,Shkoder,Shkoder,9122,18420,5061,6449,1705,94855
Shkoder,Vau Dejes,Bushat,1456,2904,630,2035,396,19328
Shkoder,Vau Dejes,Hajmel,631,995,191,449,113,5267
Shkoder,Vau Dejes,Shllak,17,284,73,223,25,1381
Shkoder,Vau Dejes,Temal,117,302,12,341,49,1586
Shkoder,Vau Dejes,Vau Dejes,1424,1608,74,1183,312,10130
Shkoder,Vau Dejes,Vig-Mnele,83,283,13,299,31,1621
Tirane,Kamez,Kamez,12681,16929,2058,1975,1801,67992
Tirane,Kamez,Paskuqan,6663,8835,1089,1239,784,35437
Tirane,Kavaje,Golem (TR),1969,1750,173,173,179,10416
Tirane,Kavaje,Helmes,703,623,62,78,50,3939
