"PollingStation","No","Party","Votes"
"1271","4","BD","0"
"1271","5","ABEOK","0"
"1271","6","LSI","25"
"1271","7","NTH","0"
"1271","8","LRE","0"
"1271","9","PDAN","88"
"1271","10","ADR","0"
"1271","11","LN","0"
"1271","12","PS","74"
"1273","1","PSD","1"
"1273","2","PBK","0"
"1273","3","PLDSH","2"
"1273","4","BD","0"
"1273","5","ABEOK","0"
"1273","6","LSI","32"
"1273","7","NTH","3"
"1273","8","LRE","0"
"1273","9","PDAN","124"
"1273","10","ADR","2"
"1273","11","LN","1"
"1273","12","PS","101"
"1275","1","PSD","3"
"1275","2","PBK","2"
"1275","3","PLDSH","0"
"1275","4","BD","0"
"1275","5","ABEOK","0"
"1275","6","LSI","53"
"1275","7","NTH","2"
"1275","8","LRE","2"
"1275","9","PDAN","246"
"1275","10","ADR","0"
"1275","11","LN","0"
"1275","12","PS","151"
"1276","1","PSD","1"
"1276","2","PBK","1"
"1276","3","PLDSH","2"
"1276","4","BD","0"
"1276","5","ABEOK","0"
"1276","6","LSI","31"
"1276","7","NTH","0"
"1276","8","LRE","0"
"1276","9","PDAN","216"
"1276","10","ADR","1"
"1276","11","LN","4"
"1276","12","PS","136"
"1277","1","PSD","0"
"1277","2","PBK","0"
"1277","3","PLDSH","1"
"1277","4","BD","0"
"1277","5","ABEOK","0"
"1277","6","LSI","52"
"1277","7","NTH","0"
"1277","8","LRE","2"
"1277","9","PDAN","214"
"1277","10","ADR","0"
"1277","11","LN","3"
"1277","12","PS","194"
"12771","1","PSD","0"
"12771","2","PBK","0"
"12771","3","PLDSH","1"
"12771","4","BD","1"
"12771","5","ABEOK","0"
"12771","6","LSI","41"
"12771","7","NTH","0"
"12771","8","LRE","0"
"12771","9","PDAN","148"
"12771","10","ADR","0"
"12771","11","LN","1"
"12771","12","PS","145"
"1278","1","PSD","2"
"1278","2","PBK","1"
"1278","3","PLDSH","0"
"1278","4","BD","0"
"1278","5","ABEOK","0"
"1278","6","LSI","43"
"1278","7","NTH","0"
"1278","8","LRE","5"
"1278","9","PDAN","251"
"1278","10","ADR","3"
"1278","11","LN","9"
"1278","12","PS","201"
"12781","1","PSD","2"
"12781","2","PBK","0"
"12781","3","PLDSH","0"
"12781","4","BD","0"
"12781","5","ABEOK","0"
"12781","6","LSI","44"
"12781","7","NTH","0"
"12781","8","LRE","0"
"12781","9","PDAN","182"
"12781","10","ADR","1"
"12781","11","LN","1"
"12781","12","PS","171"
"1279","1","PSD","1"
"1279","2","PBK","0"
"1279","3","PLDSH","2"
"1279","4","BD","0"
"1279","5","ABEOK","0"
"1279","6","LSI","50"
"1279","7","NTH","2"
"1279","8","LRE","0"
"1279","9","PDAN","253"
"1279","10","ADR","1"
"1279","11","LN","1"
"1279","12","PS","206"
"1281","1","PSD","0"
"1281","2","PBK","0"
"1281","3","PLDSH","0"
"1281","4","BD","0"
"1281","5","ABEOK","0"
"1281","6","LSI","54"
"1281","7","NTH","0"
"1281","8","LRE","0"
"1281","9","PDAN","292"
"1281","10","ADR","0"
"1281","11","LN","1"
"1281","12","PS","187"
"1282","1","PSD","2"
"1282","2","PBK","0"
"1282","3","PLDSH","0"
"1282","4","BD","1"
"1282","5","ABEOK","0"
"1282","6","LSI","14"
"1282","7","NTH","2"
"1282","8","LRE","2"
"1282","9","PDAN","202"
"1282","10","ADR","0"
"1282","11","LN","0"
"1282","12","PS","229"
"12821","1","PSD","0"
"12821","2","PBK","1"
"12821","3","PLDSH","1"
"12821","4","BD","0"
"12821","5","ABEOK","0"
"12821","6","LSI","1"
"12821","7","NTH","0"
"12821","8","LRE","1"
"12821","9","PDAN","154"
"12821","10","ADR","0"
"12821","11","LN","1"
"12821","12","PS","197"
"1283","1","PSD","4"
"1283","2","PBK","0"
"1283","3","PLDSH","1"
"1283","4","BD","0"
"1283","5","ABEOK","1"
"1283","6","LSI","4"
"1283","7","NTH","0"
"1283","8","LRE","0"
"1283","9","PDAN","55"
"1283","10","ADR","0"
"1283","11","LN","0"
"1283","12","PS","170"
"1284","1","PSD","3"
"1284","2","PBK","1"
"1284","3","PLDSH","1"
"1284","4","BD","1"
"1284","5","ABEOK","0"
"1284","6","LSI","4"
"1284","7","NTH","1"
"1284","8","LRE","1"
"1284","9","PDAN","173"
"1284","10","ADR","1"
"1284","11","LN","1"
"1284","12","PS","322"
"1285","1","PSD","3"
"1285","2","PBK","1"
"1285","3","PLDSH","4"
"1285","4","BD","0"
"1285","5","ABEOK","0"
"1285","6","LSI","15"
"1285","7","NTH","0"
"1285","8","LRE","1"
"1285","9","PDAN","127"
"1285","10","ADR","1"
"1285","11","LN","1"
"1285","12","PS","216"
"12851","1","PSD","3"
"12851","2","PBK","0"
"12851","3","PLDSH","2"
"12851","4","BD","0"
"12851","5","ABEOK","0"
"12851","6","LSI","9"
"12851","7","NTH","1"
"12851","8","LRE","0"
"12851","9","PDAN","202"
"12851","10","ADR","0"
"12851","11","LN","0"
"12851","12","PS","153"
"12852","1","PSD","1"
"12852","2","PBK","0"
"12852","3","PLDSH","1"
"12852","4","BD","1"
"12852","5","ABEOK","0"
"12852","6","LSI","11"
"12852","7","NTH","1"
"12852","8","LRE","0"
"12852","9","PDAN","143"
"12852","10","ADR","0"
"12852","11","LN","1"
"12852","12","PS","191"
"1286","1","PSD","3"
"1286","2","PBK","2"
"1286","3","PLDSH","8"
"1286","4","BD","1"
"1286","5","ABEOK","0"
"1286","6","LSI","24"
"1286","7","NTH","1"
"1286","8","LRE","0"
"1286","9","PDAN","285"
"1286","10","ADR","0"
"1286","11","LN","1"
"1286","12","PS","320"
"12861","1","PSD","2"
"12861","2","PBK","0"
"12861","3","PLDSH","3"
"12861","4","BD","0"
"12861","5","ABEOK","0"
"12861","6","LSI","14"
"12861","7","NTH","0"
"12861","8","LRE","0"
"12861","9","PDAN","191"
"12861","10","ADR","0"
"12861","11","LN","0"
"12861","12","PS","343"
"1287","1","PSD","8"
"1287","2","PBK","0"
"1287","3","PLDSH","0"
"1287","4","BD","0"
"1287","5","ABEOK","0"
"1287","6","LSI","26"
"1287","7","NTH","0"
"1287","8","LRE","0"
"1287","9","PDAN","109"
"1287","10","ADR","0"
"1287","11","LN","0"
"1287","12","PS","322"
"1288","1","PSD","3"
"1288","2","PBK","0"
"1288","3","PLDSH","0"
"1288","4","BD","0"
"1288","5","ABEOK","0"
"1288","6","LSI","2"
"1288","7","NTH","0"
"1288","8","LRE","0"
"1288","9","PDAN","168"
"1288","10","ADR","0"
"1288","11","LN","0"
"1288","12","PS","223"
"1289","1","PSD","1"
"1289","2","PBK","0"
"1289","3","PLDSH","0"
"1289","4","BD","0"
"1289","5","ABEOK","0"
"1289","6","LSI","5"
"1289","7","NTH","0"
"1289","8","LRE","1"
"1289","9","PDAN","72"
"1289","10","ADR","1"
"1289","11","LN","0"
"1289","12","PS","123"
"1290","1","PSD","0"
"1290","2","PBK","0"
"1290","3","PLDSH","0"
"1290","4","BD","0"
"1290","5","ABEOK","0"
"1290","6","LSI","3"
"1290","7","NTH","0"
"1290","8","LRE","1"
"1290","9","PDAN","123"
"1290","10","ADR","1"
"1290","11","LN","2"
"1290","12","PS","199"
"1292","1","PSD","0"
"1292","2","PBK","0"
"1292","3","PLDSH","0"
"1292","4","BD","0"
"1292","5","ABEOK","0"
"1292","6","LSI","48"
"1292","7","NTH","1"
"1292","8","LRE","5"
"1292","9","PDAN","191"
"1292","10","ADR","0"
"1292","11","LN","3"
"1292","12","PS","166"
"12921","1","PSD","1"
"12921","2","PBK","0"
"12921","3","PLDSH","0"
"12921","4","BD","0"
"12921","5","ABEOK","1"
"12921","6","LSI","17"
"12921","7","NTH","0"
"12921","8","LRE","0"
"12921","9","PDAN","89"
"12921","10","ADR","0"
"12921","11","LN","0"
"12921","12","PS","46"
"1293","1","PSD","2"
"1293","2","PBK","0"
"1293","3","PLDSH","1"
"1293","4","BD","0"
"1293","5","ABEOK","0"
"1293","6","LSI","122"
"1293","7","NTH","0"
"1293","8","LRE","1"
"1293","9","PDAN","202"
"1293","10","ADR","0"
"1293","11","LN","1"
"1293","12","PS","288"
"1294","1","PSD","2"
"1294","2","PBK","0"
"1294","3","PLDSH","0"
"1294","4","BD","0"
"1294","5","ABEOK","0"
"1294","6","LSI","29"
"1294","7","NTH","0"
"1294","8","LRE","0"
"1294","9","PDAN","145"
"1294","10","ADR","1"
"1294","11","LN","0"
"1294","12","PS","144"
"1295","1","PSD","4"
"1295","2","PBK","0"
"1295","3","PLDSH","1"
"1295","4","BD","0"
"1295","5","ABEOK","0"
"1295","6","LSI","29"
"1295","7","NTH","1"
"1295","8","LRE","1"
"1295","9","PDAN","248"
"1295","10","ADR","3"
"1295","11","LN","0"
"1295","12","PS","303"
"12951","1","PSD","6"
"12951","2","PBK","0"
"12951","3","PLDSH","0"
"12951","4","BD","0"
"12951","5","ABEOK","0"
"12951","6","LSI","39"
"12951","7","NTH","2"
"12951","8","LRE","0"
"12951","9","PDAN","219"
"12951","10","ADR","5"
"12951","11","LN","0"
"12951","12","PS","292"
"1296","1","PSD","2"
"1296","2","PBK","0"
"1296","3","PLDSH","0"
"1296","4","BD","0"
"1296","5","ABEOK","0"
"1296","6","LSI","14"
"1296","7","NTH","0"
"1296","8","LRE","0"
"1296","9","PDAN","184"
"1296","10","ADR","4"
"1296","11","LN","0"
"1296","12","PS","284"
"12961","1","PSD","3"
"12961","2","PBK","0"
"12961","3","PLDSH","0"
"12961","4","BD","1"
"12961","5","ABEOK","0"
"12961","6","LSI","17"
"12961","7","NTH","0"
"12961","8","LRE","0"
"12961","9","PDAN","121"
"12961","10","ADR","1"
"12961","11","LN","0"
"12961","12","PS","169"
"1297","1","PSD","0"
"1297","2","PBK","0"
"1297","3","PLDSH","0"
"1297","4","BD","0"
"1297","5","ABEOK","0"
"1297","6","LSI","12"
"1297","7","NTH","1"
"1297","8","LRE","4"
"1297","9","PDAN","145"
"1297","10","ADR","0"
"1297","11","LN","0"
"1297","12","PS","138"
"12971","1","PSD","1"
"12971","2","PBK","0"
"12971","3","PLDSH","0"
"12971","4","BD","0"
"12971","5","ABEOK","0"
"12971","6","LSI","21"
"12971","7","NTH","0"
"12971","8","LRE","0"
"12971","9","PDAN","120"
"12971","10","ADR","0"
"12971","11","LN","0"
"12971","12","PS","140"
"1298","1","PSD","1"
"1298","2","PBK","0"
"1298","3","PLDSH","9"
"1298","4","BD","0"
"1298","5","ABEOK","0"
"1298","6","LSI","20"
"1298","7","NTH","1"
"1298","8","LRE","2"
"1298","9","PDAN","154"
"1298","10","ADR","0"
"1298","11","LN","0"
"1298","12","PS","138"
"12981","1","PSD","0"
"12981","2","PBK","0"
"12981","3","PLDSH","1"
"12981","4","BD","0"
"12981","5","ABEOK","0"
"12981","6","LSI","20"
"12981","7","NTH","0"
"12981","8","LRE","1"
"12981","9","PDAN","148"
"12981","10","ADR","0"
"12981","11","LN","0"
"12981","12","PS","125"
"1299","1","PSD","5"
"1299","2","PBK","0"
"1299","3","PLDSH","4"
"1299","4","BD","0"
"1299","5","ABEOK","0"
"1299","6","LSI","25"
"1299","7","NTH","0"
"1299","8","LRE","4"
"1299","9","PDAN","185"
"1299","10","ADR","1"
"1299","11","LN","0"
"1299","12","PS","232"
"12991","1","PSD","1"
"12991","2","PBK","0"
"12991","3","PLDSH","3"
"12991","4","BD","0"
"12991","5","ABEOK","0"
"12991","6","LSI","8"
"12991","7","NTH","0"
"12991","8","LRE","2"
"12991","9","PDAN","182"
"12991","10","ADR","0"
"12991","11","LN","0"
"12991","12","PS","164"
"1300","1","PSD","4"
"1300","2","PBK","1"
"1300","3","PLDSH","6"
"1300","4","BD","0"
"1300","5","ABEOK","1"
"1300","6","LSI","15"
"1300","7","NTH","0"
"1300","8","LRE","0"
"1300","9","PDAN","186"
"1300","10","ADR","5"
"1300","11","LN","0"
"1300","12","PS","285"
"13001","1","PSD","2"
"13001","2","PBK","0"
"13001","3","PLDSH","18"
"13001","4","BD","0"
"13001","5","ABEOK","0"
"13001","6","LSI","20"
"13001","7","NTH","0"
"13001","8","LRE","2"
"13001","9","PDAN","231"
"13001","10","ADR","0"
"13001","11","LN","1"
"13001","12","PS","261"
"1301","1","PSD","1"
"1301","2","PBK","0"
"1301","3","PLDSH","0"
"1301","4","BD","0"
"1301","5","ABEOK","0"
"1301","6","LSI","68"
"1301","7","NTH","0"
"1301","8","LRE","0"
"1301","9","PDAN","227"
"1301","10","ADR","0"
"1301","11","LN","0"
"1301","12","PS","205"
"1302","1","PSD","4"
"1302","2","PBK","0"
"1302","3","PLDSH","2"
"1302","4","BD","0"
"1302","5","ABEOK","0"
"1302","6","LSI","37"
"1302","7","NTH","0"
"1302","8","LRE","1"
"1302","9","PDAN","129"
"1302","10","ADR","1"
"1302","11","LN","0"
"1302","12","PS","107"
"13021","1","PSD","0"
"13021","2","PBK","0"
"13021","3","PLDSH","1"
"13021","4","BD","1"
"13021","5","ABEOK","0"
"13021","6","LSI","15"
"13021","7","NTH","1"
"13021","8","LRE","4"
"13021","9","PDAN","101"
"13021","10","ADR","1"
"13021","11","LN","0"
"13021","12","PS","112"
"1303","1","PSD","2"
"1303","2","PBK","1"
"1303","3","PLDSH","0"
"1303","4","BD","0"
"1303","5","ABEOK","0"
"1303","6","LSI","17"
"1303","7","NTH","0"
"1303","8","LRE","4"
"1303","9","PDAN","146"
"1303","10","ADR","1"
"1303","11","LN","0"
"1303","12","PS","182"
"13031","1","PSD","2"
"13031","2","PBK","2"
"13031","3","PLDSH","0"
"13031","4","BD","0"
"13031","5","ABEOK","0"
"13031","6","LSI","10"
"13031","7","NTH","1"
"13031","8","LRE","0"
"13031","9","PDAN","115"
"13031","10","ADR","0"
"13031","11","LN","0"
"13031","12","PS","175"
"1304","1","PSD","1"
"1304","2","PBK","0"
"1304","3","PLDSH","1"
"1304","4","BD","0"
"1304","5","ABEOK","0"
"1304","6","LSI","18"
"1304","7","NTH","1"
"1304","8","LRE","3"
"1304","9","PDAN","132"
"1304","10","ADR","0"
"1304","11","LN","0"
"1304","12","PS","285"
"1305","1","PSD","3"
"1305","2","PBK","0"
"1305","3","PLDSH","0"
"1305","4","BD","0"
"1305","5","ABEOK","0"
"1305","6","LSI","35"
"1305","7","NTH","2"
"1305","8","LRE","3"
"1305","9","PDAN","90"
"1305","10","ADR","3"
"1305","11","LN","0"
"1305","12","PS","176"
"13051","1","PSD","2"
"13051","2","PBK","0"
"13051","3","PLDSH","1"
"13051","4","BD","1"
"13051","5","ABEOK","0"
"13051","6","LSI","17"
"13051","7","NTH","0"
"13051","8","LRE","5"
"13051","9","PDAN","68"
"13051","10","ADR","1"
"13051","11","LN","0"
"13051","12","PS","119"
"1306","1","PSD","1"
"1306","2","PBK","0"
"1306","3","PLDSH","1"
"1306","4","BD","0"
"1306","5","ABEOK","0"
"1306","6","LSI","32"
"1306","7","NTH","0"
"1306","8","LRE","3"
"1306","9","PDAN","165"
"1306","10","ADR","0"
"1306","11","LN","0"
"1306","12","PS","227"
"13061","1","PSD","2"
"13061","2","PBK","0"
"13061","3","PLDSH","1"
"13061","4","BD","0"
"13061","5","ABEOK","0"
"13061","6","LSI","15"
"13061","7","NTH","0"
"13061","8","LRE","2"
"13061","9","PDAN","106"
"13061","10","ADR","0"
"13061","11","LN","0"
"13061","12","PS","126"
"1307","1","PSD","3"
"1307","2","PBK","0"
"1307","3","PLDSH","1"
"1307","4","BD","0"
"1307","5","ABEOK","1"
"1307","6","LSI","59"
"1307","7","NTH","3"
"1307","8","LRE","5"
"1307","9","PDAN","159"
"1307","10","ADR","0"
"1307","11","LN","1"
"1307","12","PS","154"
"13071","1","PSD","3"
"13071","2","PBK","0"
"13071","3","PLDSH","0"
"13071","4","BD","0"
"13071","5","ABEOK","0"
"13071","6","LSI","23"
"13071","7","NTH","1"
"13071","8","LRE","2"
"13071","9","PDAN","105"
"13071","10","ADR","0"
"13071","11","LN","1"
"13071","12","PS","125"
"1308","1","PSD","2"
"1308","2","PBK","1"
"1308","3","PLDSH","0"
"1308","4","BD","0"
"1308","5","ABEOK","0"
"1308","6","LSI","29"
"1308","7","NTH","0"
"1308","8","LRE","0"
"1308","9","PDAN","170"
"1308","10","ADR","0"
"1308","11","LN","0"
"1308","12","PS","186"
"1309","1","PSD","3"
"1309","2","PBK","0"
"1309","3","PLDSH","0"
"1309","4","BD","0"
"1309","5","ABEOK","0"
"1309","6","LSI","14"
"1309","7","NTH","0"
"1309","8","LRE","1"
"1309","9","PDAN","114"
"1309","10","ADR","0"
"1309","11","LN","0"
"1309","12","PS","229"
"1310","1","PSD","1"
"1310","2","PBK","0"
"1310","3","PLDSH","0"
"1310","4","BD","0"
"1310","5","ABEOK","0"
"1310","6","LSI","7"
"1310","7","NTH","0"
"1310","8","LRE","1"
"1310","9","PDAN","137"
"1310","10","ADR","0"
"1310","11","LN","2"
"1310","12","PS","129"
"13101","1","PSD","1"
"13101","2","PBK","0"
"13101","3","PLDSH","0"
"13101","4","BD","0"
"13101","5","ABEOK","0"
"13101","6","LSI","10"
"13101","7","NTH","0"
"13101","8","LRE","0"
"13101","9","PDAN","91"
"13101","10","ADR","0"
"13101","11","LN","2"
"13101","12","PS","121"
"1311","1","PSD","0"
"1311","2","PBK","1"
"1311","3","PLDSH","0"
"1311","4","BD","0"
"1311","5","ABEOK","0"
"1311","6","LSI","11"
"1311","7","NTH","0"
"1311","8","LRE","0"
"1311","9","PDAN","82"
"1311","10","ADR","1"
"1311","11","LN","0"
"1311","12","PS","125"
"1312","1","PSD","1"
"1312","2","PBK","0"
"1312","3","PLDSH","3"
"1312","4","BD","0"
"1312","5","ABEOK","0"
"1312","6","LSI","8"
"1312","7","NTH","1"
"1312","8","LRE","0"
"1312","9","PDAN","92"
"1312","10","ADR","0"
"1312","11","LN","1"
"1312","12","PS","169"
"13121","1","PSD","1"
"13121","2","PBK","1"
"13121","3","PLDSH","1"
"13121","4","BD","0"
"13121","5","ABEOK","0"
"13121","6","LSI","3"
"13121","7","NTH","0"
"13121","8","LRE","0"
"13121","9","PDAN","156"
"13121","10","ADR","0"
"13121","11","LN","0"
"13121","12","PS","190"
"1313","1","PSD","2"
"1313","2","PBK","0"
"1313","3","PLDSH","0"
"1313","4","BD","0"
"1313","5","ABEOK","0"
"1313","6","LSI","7"
"1313","7","NTH","0"
"1313","8","LRE","1"
"1313","9","PDAN","118"
"1313","10","ADR","1"
"1313","11","LN","0"
"1313","12","PS","169"
"1315","1","PSD","1"
"1315","2","PBK","0"
"1315","3","PLDSH","0"
"1315","4","BD","0"
"1315","5","ABEOK","0"
"1315","6","LSI","12"
"1315","7","NTH","0"
"1315","8","LRE","1"
"1315","9","PDAN","106"
"1315","10","ADR","0"
"1315","11","LN","0"
"1315","12","PS","299"
"1316","1","PSD","1"
"1316","2","PBK","0"
"1316","3","PLDSH","0"
"1316","4","BD","0"
"1316","5","ABEOK","0"
"1316","6","LSI","4"
"1316","7","NTH","0"
"1316","8","LRE","0"
"1316","9","PDAN","168"
"1316","10","ADR","0"
"1316","11","LN","0"
"1316","12","PS","193"
"13161","1","PSD","3"
"13161","2","PBK","0"
"13161","3","PLDSH","1"
"13161","4","BD","0"
"13161","5","ABEOK","1"
"13161","6","LSI","8"
"13161","7","NTH","1"
"13161","8","LRE","1"
"13161","9","PDAN","190"
"13161","10","ADR","0"
"13161","11","LN","0"
"13161","12","PS","196"
"1317","1","PSD","5"
"1317","2","PBK","0"
"1317","3","PLDSH","1"
"1317","4","BD","0"
"1317","5","ABEOK","0"
"1317","6","LSI","15"
"1317","7","NTH","0"
"1317","8","LRE","2"
"1317","9","PDAN","175"
"1317","10","ADR","1"
"1317","11","LN","1"
"1317","12","PS","227"
"1318","1","PSD","1"
"1318","2","PBK","0"
"1318","3","PLDSH","0"
"1318","4","BD","0"
"1318","5","ABEOK","0"
"1318","6","LSI","34"
"1318","7","NTH","0"
"1318","8","LRE","1"
"1318","9","PDAN","151"
"1318","10","ADR","2"
"1318","11","LN","0"
"1318","12","PS","233"
"13181","1","PSD","0"
"13181","2","PBK","0"
"13181","3","PLDSH","1"
"13181","4","BD","0"
"13181","5","ABEOK","0"
"13181","6","LSI","29"
"13181","7","NTH","1"
"13181","8","LRE","1"
"13181","9","PDAN","62"
"13181","10","ADR","0"
"13181","11","LN","0"
"13181","12","PS","115"
"1319","1","PSD","2"
"1319","2","PBK","0"
"1319","3","PLDSH","0"
"1319","4","BD","0"
"1319","5","ABEOK","0"
"1319","6","LSI","23"
"1319","7","NTH","1"
"1319","8","LRE","0"
"1319","9","PDAN","161"
"1319","10","ADR","0"
"1319","11","LN","1"
"1319","12","PS","153"
"13191","1","PSD","0"
"13191","2","PBK","1"
"13191","3","PLDSH","0"
"13191","4","BD","0"
"13191","5","ABEOK","0"
"13191","6","LSI","9"
"13191","7","NTH","0"
"13191","8","LRE","0"
"13191","9","PDAN","120"
"13191","10","ADR","0"
"13191","11","LN","0"
"13191","12","PS","191"
"1320","1","PSD","1"
"1320","2","PBK","0"
"1320","3","PLDSH","0"
"1320","4","BD","2"
"1320","5","ABEOK","0"
"1320","6","LSI","19"
"1320","7","NTH","0"
"1320","8","LRE","2"
"1320","9","PDAN","179"
"1320","10","ADR","1"
"1320","11","LN","1"
"1320","12","PS","162"
"1321","1","PSD","5"
"1321","2","PBK","0"
"1321","3","PLDSH","0"
"1321","4","BD","0"
"1321","5","ABEOK","0"
"1321","6","LSI","12"
"1321","7","NTH","0"
"1321","8","LRE","1"
"1321","9","PDAN","197"
"1321","10","ADR","1"
"1321","11","LN","2"
"1321","12","PS","210"
"1322","1","PSD","0"
"1322","2","PBK","1"
"1322","3","PLDSH","0"
"1322","4","BD","0"
"1322","5","ABEOK","0"
"1322","6","LSI","5"
"1322","7","NTH","0"
"1322","8","LRE","0"
"1322","9","PDAN","207"
"1322","10","ADR","1"
"1322","11","LN","0"
"1322","12","PS","187"
"1323","1","PSD","0"
"1323","2","PBK","0"
"1323","3","PLDSH","0"
"1323","4","BD","0"
"1323","5","ABEOK","0"
"1323","6","LSI","29"
"1323","7","NTH","0"
"1323","8","LRE","0"
"1323","9","PDAN","65"
"1323","10","ADR","1"
"1323","11","LN","0"
"1323","12","PS","129"
"1325","1","PSD","0"
"1325","2","PBK","0"
"1325","3","PLDSH","1"
"1325","4","BD","0"
"1325","5","ABEOK","0"
"1325","6","LSI","21"
"1325","7","NTH","0"
"1325","8","LRE","1"
"1325","9","PDAN","117"
"1325","10","ADR","0"
"1325","11","LN","0"
"1325","12","PS","95"
"1326","1","PSD","0"
"1326","2","PBK","0"
"1326","3","PLDSH","0"
"1326","4","BD","0"
"1326","5","ABEOK","0"
"1326","6","LSI","30"
"1326","7","NTH","0"
"1326","8","LRE","0"
"1326","9","PDAN","85"
"1326","10","ADR","0"
"1326","11","LN","0"
"1326","12","PS","108"
"1327","1","PSD","0"
"1327","2","PBK","0"
"1327","3","PLDSH","2"
"1327","4","BD","0"
"1327","5","ABEOK","0"
"1327","6","LSI","20"
"1327","7","NTH","2"
"1327","8","LRE","0"
"1327","9","PDAN","66"
"1327","10","ADR","0"
"1327","11","LN","0"
"1327","12","PS","139"
"1328","1","PSD","2"
"1328","2","PBK","0"
"1328","3","PLDSH","1"
"1328","4","BD","0"
"1328","5","ABEOK","0"
"1328","6","LSI","6"
"1328","7","NTH","1"
"1328","8","LRE","0"
"1328","9","PDAN","62"
"1328","10","ADR","0"
"1328","11","LN","0"
"1328","12","PS","77"
"1329","1","PSD","0"
"1329","2","PBK","1"
"1329","3","PLDSH","0"
"1329","4","BD","0"
"1329","5","ABEOK","0"
"1329","6","LSI","31"
"1329","7","NTH","0"
"1329","8","LRE","0"
"1329","9","PDAN","56"
"1329","10","ADR","0"
"1329","11","LN","1"
"1329","12","PS","135"
"13291","1","PSD","1"
"13291","2","PBK","0"
"13291","3","PLDSH","1"
"13291","4","BD","1"
"13291","5","ABEOK","0"
"13291","6","LSI","11"
"13291","7","NTH","0"
"13291","8","LRE","0"
"13291","9","PDAN","51"
"13291","10","ADR","0"
"13291","11","LN","0"
"13291","12","PS","143"
"1330","1","PSD","0"
"1330","2","PBK","0"
"1330","3","PLDSH","2"
"1330","4","BD","1"
"1330","5","ABEOK","0"
"1330","6","LSI","22"
"1330","7","NTH","1"
"1330","8","LRE","0"
"1330","9","PDAN","107"
"1330","10","ADR","9"
"1330","11","LN","0"
"1330","12","PS","116"
"13301","1","PSD","0"
"13301","2","PBK","0"
"13301","3","PLDSH","1"
"13301","4","BD","1"
"13301","5","ABEOK","0"
"13301","6","LSI","2"
"13301","7","NTH","0"
"13301","8","LRE","0"
"13301","9","PDAN","93"
"13301","10","ADR","0"
"13301","11","LN","0"
"13301","12","PS","112"
"1332","1","PSD","0"
"1332","2","PBK","0"
"1332","3","PLDSH","0"
"1332","4","BD","0"
"1332","5","ABEOK","0"
"1332","6","LSI","8"
"1332","7","NTH","0"
"1332","8","LRE","0"
"1332","9","PDAN","22"
"1332","10","ADR","0"
"1332","11","LN","0"
"1332","12","PS","112"
"1333","1","PSD","1"
"1333","2","PBK","0"
"1333","3","PLDSH","0"
"1333","4","BD","0"
"1333","5","ABEOK","0"
"1333","6","LSI","24"
"1333","7","NTH","0"
"1333","8","LRE","0"
"1333","9","PDAN","161"
"1333","10","ADR","1"
"1333","11","LN","0"
"1333","12","PS","76"
"1334","1","PSD","3"
"1334","2","PBK","1"
"1334","3","PLDSH","1"
"1334","4","BD","1"
"1334","5","ABEOK","0"
"1334","6","LSI","29"
"1334","7","NTH","0"
"1334","8","LRE","0"
"1334","9","PDAN","144"
"1334","10","ADR","1"
"1334","11","LN","0"
"1334","12","PS","108"
"1335","1","PSD","1"
"1335","2","PBK","0"
"1335","3","PLDSH","1"
"1335","4","BD","0"
"1335","5","ABEOK","0"
"1335","6","LSI","7"
"1335","7","NTH","1"
"1335","8","LRE","0"
"1335","9","PDAN","68"
"1335","10","ADR","0"
"1335","11","LN","2"
"1335","12","PS","137"
"1336","1","PSD","2"
"1336","2","PBK","0"
"1336","3","PLDSH","0"
"1336","4","BD","0"
"1336","5","ABEOK","0"
"1336","6","LSI","4"
"1336","7","NTH","0"
"1336","8","LRE","0"
"1336","9","PDAN","65"
"1336","10","ADR","0"
"1336","11","LN","2"
"1336","12","PS","183"
"1337","1","PSD","0"
"1337","2","PBK","0"
"1337","3","PLDSH","4"
"1337","4","BD","0"
"1337","5","ABEOK","0"
"1337","6","LSI","5"
"1337","7","NTH","0"
"1337","8","LRE","0"
"1337","9","PDAN","93"
"1337","10","ADR","0"
"1337","11","LN","0"
"1337","12","PS","165"
"1338","1","PSD","1"
"1338","2","PBK","1"
"1338","3","PLDSH","2"
"1338","4","BD","0"
"1338","5","ABEOK","0"
"1338","6","LSI","0"
"1338","7","NTH","1"
"1338","8","LRE","0"
"1338","9","PDAN","100"
"1338","10","ADR","1"
"1338","11","LN","0"
"1338","12","PS","167"
"13381","1","PSD","3"
"13381","2","PBK","0"
"13381","3","PLDSH","1"
"13381","4","BD","0"
"13381","5","ABEOK","0"
"13381","6","LSI","1"
"13381","7","NTH","0"
"13381","8","LRE","0"
"13381","9","PDAN","32"
"13381","10","ADR","0"
"13381","11","LN","1"
"13381","12","PS","116"
"1339","1","PSD","4"
"1339","2","PBK","0"
"1339","3","PLDSH","29"
"1339","4","BD","2"
"1339","5","ABEOK","0"
"1339","6","LSI","13"
"1339","7","NTH","1"
"1339","8","LRE","1"
"1339","9","PDAN","88"
"1339","10","ADR","0"
"1339","11","LN","0"
"1339","12","PS","155"
"1340","1","PSD","0"
"1340","2","PBK","0"
"1340","3","PLDSH","5"
"1340","4","BD","0"
"1340","5","ABEOK","0"
"1340","6","LSI","7"
"1340","7","NTH","0"
"1340","8","LRE","1"
